Education,Age,Income,City,Gender,Marital Status,Job Role,Experience,Skills,Job Satisfaction,Workplace Type
Bachelor's Degree,0.5915229738857105,-1.1351841475129305,Chicago,Female,Divorced,Data Scientist,0.6991619802581772,Project Management,Very Satisfied,In-office
Bachelor's Degree,-1.310981084182456,-1.034935419719687,Chicago,Other,Divorced,Marketing Specialist,0.07153587828896397,Communication,Very Dissatisfied,Hybrid
Master's Degree,1.5427750029197937,-0.24733739221527257,Chicago,Male,Single,Data Scientist,0.3853489292735706,Excel,Neutral,Remote
PhD,-0.7987684531641035,-0.17693047431403597,Los Angeles,Other,Divorced,Data Scientist,0.3853489292735706,Project Management,Very Satisfied,Remote
Associate Degree,1.1769088379066848,0.7088351145727138,Chicago,Male,Divorced,Software Engineer,0.07153587828896397,Project Management,Dissatisfied,Remote
Associate Degree,-0.3597290551483728,0.06878825820100122,Los Angeles,Female,Single,Project Manager,-1.1837163256494625,Marketing,Satisfied,Hybrid
Master's Degree,-0.9451149191693471,0.6139480358380812,Chicago,Female,Married,Project Manager,1.0129750312427839,SQL,Dissatisfied,Hybrid
Bachelor's Degree,-0.5792487541562381,0.24533466305856094,Chicago,Male,Divorced,Data Scientist,-0.8699032746648558,Marketing,Very Satisfied,Hybrid
Master's Degree,0.5183497408830887,-1.0695039465449434,Houston,Male,Divorced,Software Engineer,1.3267880822273905,Project Management,Satisfied,Hybrid
Master's Degree,-0.4329022881509946,0.8770215797796758,Chicago,Other,Single,Project Manager,1.0129750312427839,Communication,Satisfied,In-office
Bachelor's Degree,-1.3841543171850779,-0.1337198157824654,Los Angeles,Other,Divorced,Researcher,-0.24227717269564264,Marketing,Very Dissatisfied,In-office
Master's Degree,-1.1646346181772125,0.9778346916843522,New York,Male,Married,Researcher,0.07153587828896397,Java,Dissatisfied,Hybrid
Bachelor's Degree,1.3232553039119284,1.0153309610876662,Los Angeles,Male,Single,Data Scientist,-0.24227717269564264,SQL,Satisfied,In-office
Bachelor's Degree,0.5915229738857105,0.4135564022724875,Phoenix,Male,Divorced,HR Manager,-0.5560902236802493,Communication,Neutral,Remote
Bachelor's Degree,1.1769088379066848,-1.6002719293404881,New York,Female,Divorced,Sales Executive,1.0129750312427839,Marketing,Very Satisfied,In-office
Bachelor's Degree,0.8110426728935759,-0.3198960245413466,Los Angeles,Female,Married,Project Manager,0.07153587828896397,Project Management,Dissatisfied,Hybrid
Master's Degree,-1.2378078511798343,0.22184217442017237,Los Angeles,Male,Married,Data Scientist,-0.24227717269564264,Data Analysis,Satisfied,Hybrid
Bachelor's Degree,1.6159482359224155,-1.6049986462737373,Phoenix,Other,Single,Data Scientist,0.07153587828896397,SQL,Satisfied,In-office
Bachelor's Degree,1.5427750029197937,1.2309256916549798,New York,Male,Divorced,Software Engineer,0.3853489292735706,Marketing,Dissatisfied,Remote
Master's Degree,-0.5792487541562381,0.2112246983238436,Houston,Other,Single,Sales Executive,0.6991619802581772,Data Analysis,Very Satisfied,Hybrid
Master's Degree,-0.6524219871588599,-0.3442350893468843,Phoenix,Male,Divorced,Data Scientist,1.6406011332119972,Marketing,Neutral,Hybrid
Bachelor's Degree,-1.2378078511798343,-1.367957319471979,Chicago,Female,Single,Graphic Designer,0.6991619802581772,Excel,Satisfied,In-office
PhD,1.0305623719014412,-1.3416429102764265,Chicago,Other,Married,Researcher,1.0129750312427839,Python,Dissatisfied,In-office
Master's Degree,0.6646962068883323,0.9822792165618852,New York,Female,Married,Graphic Designer,0.07153587828896397,Project Management,Satisfied,In-office
Bachelor's Degree,-1.4573275501876997,-0.9245277779206535,Chicago,Other,Divorced,Sales Executive,0.6991619802581772,Marketing,Dissatisfied,In-office
Bachelor's Degree,-1.4573275501876997,-0.4169348177008165,Houston,Male,Married,Project Manager,0.07153587828896397,Marketing,Very Dissatisfied,In-office
Bachelor's Degree,-0.06703612313788564,1.368000482719211,Phoenix,Male,Divorced,Graphic Designer,-0.24227717269564264,Communication,Very Dissatisfied,Hybrid
Master's Degree,-0.9451149191693471,-1.3412548961998165,New York,Male,Married,HR Manager,0.07153587828896397,Marketing,Neutral,Hybrid
Bachelor's Degree,-1.4573275501876997,-0.92636202628281,New York,Other,Divorced,Project Manager,1.0129750312427839,Java,Very Dissatisfied,Hybrid
Bachelor's Degree,-0.7987684531641035,-1.433954986502647,Los Angeles,Female,Married,Software Engineer,-0.5560902236802493,Python,Dissatisfied,Remote
Associate Degree,0.4451765078804669,0.7917290309394002,Los Angeles,Male,Single,Researcher,0.07153587828896397,Marketing,Neutral,Hybrid
Bachelor's Degree,-0.4329022881509946,-1.307391849513851,New York,Other,Single,Researcher,-0.24227717269564264,SQL,Satisfied,Remote
PhD,-1.1646346181772125,0.3001151958745031,Chicago,Female,Married,Researcher,0.3853489292735706,Project Management,Satisfied,Hybrid
Bachelor's Degree,-0.7255952201614817,0.5106657434458864,Los Angeles,Male,Married,Sales Executive,0.07153587828896397,Excel,Dissatisfied,In-office
PhD,-1.3841543171850779,1.431282051213609,Houston,Male,Married,Researcher,1.3267880822273905,SQL,Very Satisfied,In-office
Bachelor's Degree,-0.9451149191693471,0.08250984691021016,Los Angeles,Female,Single,Marketing Specialist,-0.5560902236802493,Project Management,Satisfied,Remote
Bachelor's Degree,1.1769088379066848,-0.5533746766396858,New York,Female,Divorced,Researcher,-0.5560902236802493,Data Analysis,Dissatisfied,Hybrid
Master's Degree,-0.4329022881509946,0.34396078653143547,Houston,Other,Single,Sales Executive,1.3267880822273905,Java,Very Dissatisfied,Remote
High School,-1.2378078511798343,0.876457195668243,Los Angeles,Female,Divorced,Software Engineer,-1.1837163256494625,Communication,Satisfied,Remote
Bachelor's Degree,-0.286555822145751,1.0750145808716802,Chicago,Male,Single,Software Engineer,1.0129750312427839,Python,Very Dissatisfied,Remote
Bachelor's Degree,-1.310981084182456,1.491142041032446,Chicago,Female,Divorced,Software Engineer,0.6991619802581772,Python,Dissatisfied,Remote
Associate Degree,0.6646962068883323,1.3640497939391818,Chicago,Female,Married,Software Engineer,-1.1837163256494625,Project Management,Very Dissatisfied,Remote
Bachelor's Degree,-0.9451149191693471,-0.23908327458556847,New York,Other,Married,Data Scientist,0.3853489292735706,SQL,Very Satisfied,In-office
Bachelor's Degree,-1.0182881521719689,-0.8107338314530236,Phoenix,Female,Married,Project Manager,0.3853489292735706,Excel,Very Satisfied,Hybrid
High School,0.29883004187522333,1.0772015693034822,Chicago,Female,Single,HR Manager,-1.4975293766340692,Java,Neutral,Remote
Bachelor's Degree,-0.7255952201614817,-0.01608100255569982,Houston,Male,Single,Marketing Specialist,-0.5560902236802493,Project Management,Satisfied,In-office
Associate Degree,-1.3841543171850779,-0.3572159239098377,Houston,Female,Divorced,HR Manager,-0.24227717269564264,Marketing,Dissatisfied,Remote
Associate Degree,0.8842159058961977,-0.27763776419781877,New York,Female,Divorced,Marketing Specialist,-0.8699032746648558,Java,Very Dissatisfied,Hybrid
Associate Degree,1.2500820709093066,-0.32963165046356163,Phoenix,Male,Married,HR Manager,-0.24227717269564264,Communication,Very Satisfied,Hybrid
Master's Degree,0.8842159058961977,-0.6599727256865481,Phoenix,Other,Married,Marketing Specialist,1.0129750312427839,Data Analysis,Satisfied,In-office
Master's Degree,0.15248357586997974,1.0206220621323483,Phoenix,Other,Single,Project Manager,1.0129750312427839,Project Management,Satisfied,Remote
Associate Degree,1.2500820709093066,-0.31774431011650917,Phoenix,Male,Single,Data Scientist,-0.8699032746648558,Java,Very Dissatisfied,Remote
High School,-0.7255952201614817,1.4247210859182031,Los Angeles,Female,Divorced,Data Scientist,-0.5560902236802493,Excel,Dissatisfied,In-office
Bachelor's Degree,1.6891214689250373,-1.2419585665946156,New York,Male,Married,Marketing Specialist,-0.8699032746648558,Excel,Satisfied,Hybrid
Associate Degree,-0.7255952201614817,-1.2384664399051253,New York,Other,Divorced,Researcher,-1.1837163256494625,Excel,Very Dissatisfied,Hybrid
Associate Degree,-1.2378078511798343,0.6275638025263965,New York,Female,Divorced,Graphic Designer,0.07153587828896397,Project Management,Very Satisfied,Hybrid
Master's Degree,0.9573891388988194,-0.2840223594584019,New York,Male,Single,Sales Executive,-0.24227717269564264,Python,Very Satisfied,In-office
Master's Degree,1.2500820709093066,-0.9931004474597337,New York,Male,Single,Software Engineer,1.3267880822273905,Java,Dissatisfied,In-office
Bachelor's Degree,-0.4329022881509946,-0.7487574012163138,Chicago,Male,Married,Project Manager,0.6991619802581772,Java,Very Satisfied,Remote
High School,-0.7255952201614817,-0.4710451443844322,Los Angeles,Other,Divorced,HR Manager,-1.8113424276186758,Project Management,Very Dissatisfied,Hybrid
Bachelor's Degree,0.3720032748778451,-0.7172224389900085,New York,Male,Married,Data Scientist,0.07153587828896397,SQL,Neutral,Hybrid
Bachelor's Degree,1.469601769917172,-1.168588632108357,New York,Other,Married,Researcher,-0.24227717269564264,SQL,Dissatisfied,Hybrid
Bachelor's Degree,0.22565680887260153,1.2375219309573502,New York,Male,Single,Researcher,0.3853489292735706,Data Analysis,Satisfied,Hybrid
High School,-0.06703612313788564,0.6394158688664845,Chicago,Male,Single,HR Manager,-1.4975293766340692,Python,Satisfied,Hybrid
Associate Degree,1.7622947019276591,-0.11523623613304255,Houston,Female,Divorced,Project Manager,-1.1837163256494625,SQL,Very Satisfied,Hybrid
Bachelor's Degree,1.469601769917172,1.3812987833448453,Phoenix,Male,Divorced,Sales Executive,-0.24227717269564264,SQL,Neutral,Remote
Master's Degree,0.8842159058961977,-1.2077427798390046,New York,Other,Single,Graphic Designer,-0.24227717269564264,Marketing,Dissatisfied,Remote
High School,-0.7987684531641035,0.5550051702003226,Houston,Female,Single,Software Engineer,-0.5560902236802493,Communication,Very Dissatisfied,Hybrid
Bachelor's Degree,0.07931034286735796,-0.4572882816682587,Phoenix,Other,Divorced,Graphic Designer,0.3853489292735706,Python,Very Satisfied,Remote
Associate Degree,-0.21338258914312921,-0.9831884515026958,Chicago,Other,Married,Sales Executive,-0.24227717269564264,Data Analysis,Satisfied,Hybrid
Bachelor's Degree,1.1769088379066848,0.85486950340594,Phoenix,Other,Married,Marketing Specialist,1.0129750312427839,SQL,Neutral,Hybrid
High School,-0.7255952201614817,-1.125554343611609,Chicago,Other,Divorced,Researcher,-0.5560902236802493,SQL,Satisfied,In-office
PhD,1.3232553039119284,0.11284549289972093,Houston,Male,Married,Researcher,2.2682272351812105,Excel,Very Satisfied,Hybrid
Bachelor's Degree,1.6159482359224155,-0.9567682202862499,Houston,Female,Divorced,Researcher,0.07153587828896397,Data Analysis,Satisfied,Remote
Associate Degree,-0.7987684531641035,0.9837607248543963,Phoenix,Male,Married,Software Engineer,-0.5560902236802493,Communication,Very Dissatisfied,In-office
Associate Degree,-0.9451149191693471,-1.535579400567508,New York,Other,Married,Marketing Specialist,0.07153587828896397,Excel,Very Dissatisfied,Hybrid
Master's Degree,0.7378694398909541,-1.341149074178923,Los Angeles,Female,Single,HR Manager,0.6991619802581772,Excel,Satisfied,Remote
Master's Degree,1.2500820709093066,0.8361390057077653,Phoenix,Male,Single,Data Scientist,0.3853489292735706,Marketing,Dissatisfied,Remote
Master's Degree,-0.5060755211536164,0.8396664064042201,Chicago,Female,Divorced,Project Manager,1.0129750312427839,Java,Very Dissatisfied,In-office
PhD,1.6159482359224155,-1.0769114880074984,Houston,Female,Married,Marketing Specialist,0.6991619802581772,Excel,Dissatisfied,Remote
Master's Degree,0.8842159058961977,-0.8731688237802725,Chicago,Other,Single,Marketing Specialist,1.0129750312427839,Communication,Satisfied,Hybrid
Bachelor's Degree,-1.4573275501876997,1.5525893611646875,Los Angeles,Male,Divorced,Researcher,-0.24227717269564264,Project Management,Neutral,Hybrid
Associate Degree,-1.310981084182456,-1.6222476356794011,Los Angeles,Other,Divorced,HR Manager,-1.1837163256494625,Communication,Dissatisfied,Hybrid
Bachelor's Degree,0.22565680887260153,0.06660126976919928,New York,Male,Divorced,Software Engineer,-0.8699032746648558,Communication,Satisfied,Hybrid
High School,-0.8719416861667253,1.557069160049185,New York,Female,Divorced,Data Scientist,-1.8113424276186758,Marketing,Dissatisfied,Hybrid
Master's Degree,-1.1646346181772125,0.6384634706784417,Los Angeles,Male,Divorced,Researcher,1.3267880822273905,Java,Very Dissatisfied,In-office
High School,1.3964285369145502,1.5342468775431228,Phoenix,Female,Divorced,Researcher,-1.8113424276186758,Excel,Very Dissatisfied,Hybrid
High School,0.8110426728935759,-0.27097097688151933,Houston,Female,Married,HR Manager,-1.4975293766340692,Data Analysis,Very Satisfied,In-office
Associate Degree,-1.4573275501876997,-0.05918583906637674,New York,Male,Single,Marketing Specialist,-1.1837163256494625,SQL,Satisfied,In-office
Bachelor's Degree,-1.0914613851745907,0.9326134147558025,Houston,Other,Divorced,Project Manager,0.6991619802581772,Communication,Dissatisfied,In-office
Bachelor's Degree,-0.8719416861667253,0.6783583725553448,Los Angeles,Female,Married,Sales Executive,0.3853489292735706,SQL,Very Dissatisfied,Remote
Bachelor's Degree,1.6159482359224155,-0.3383796041907694,Phoenix,Other,Married,Project Manager,0.3853489292735706,SQL,Very Dissatisfied,Hybrid
Bachelor's Degree,-1.1646346181772125,0.8084841842475602,Phoenix,Female,Single,Researcher,-0.8699032746648558,Java,Dissatisfied,Hybrid
Associate Degree,1.6159482359224155,-1.0212491050174426,Los Angeles,Female,Divorced,Project Manager,0.07153587828896397,Java,Very Satisfied,Hybrid
High School,-1.5305007831903215,0.5995209669895813,Houston,Other,Divorced,Marketing Specialist,-1.8113424276186758,Marketing,Neutral,Remote
Bachelor's Degree,1.3232553039119284,-1.4075700292931657,Chicago,Female,Single,Researcher,-0.8699032746648558,Java,Very Dissatisfied,Hybrid
Associate Degree,-0.21338258914312921,-1.1189933783162034,Houston,Female,Divorced,Sales Executive,-0.24227717269564264,Project Management,Very Satisfied,In-office
High School,0.8110426728935759,0.37154505997771153,Los Angeles,Female,Divorced,HR Manager,-0.8699032746648558,Python,Neutral,Remote
Bachelor's Degree,-0.5060755211536164,0.7193114946411844,Houston,Female,Divorced,Software Engineer,1.0129750312427839,Java,Satisfied,Hybrid
Associate Degree,0.15248357586997974,-0.9823418753355467,Phoenix,Female,Single,Software Engineer,-0.24227717269564264,Excel,Very Satisfied,Remote
Master's Degree,-1.1646346181772125,0.6472819724195785,Chicago,Female,Married,Project Manager,0.07153587828896397,Java,Dissatisfied,In-office
PhD,-0.4329022881509946,1.362779929688458,Phoenix,Male,Divorced,Marketing Specialist,2.5820402861658165,Java,Neutral,In-office
Bachelor's Degree,-0.8719416861667253,-1.4363536189762363,Phoenix,Male,Married,Sales Executive,0.6991619802581772,Java,Satisfied,In-office
Bachelor's Degree,-1.2378078511798343,-0.5159136812433365,Phoenix,Other,Married,Researcher,-0.24227717269564264,Communication,Satisfied,Hybrid
Bachelor's Degree,0.0061371098647361585,-1.437940949289641,Los Angeles,Male,Single,Researcher,0.07153587828896397,Excel,Dissatisfied,Hybrid
Bachelor's Degree,0.29883004187522333,-0.0346704042260163,Chicago,Female,Single,Data Scientist,0.6991619802581772,Data Analysis,Very Satisfied,Remote
Bachelor's Degree,1.6891214689250373,-0.9490784867679786,Phoenix,Female,Married,Sales Executive,0.07153587828896397,Python,Dissatisfied,Hybrid
High School,-1.2378078511798343,1.1806955057374644,Phoenix,Male,Single,Project Manager,-1.1837163256494625,Communication,Neutral,In-office
High School,1.103735604904063,0.7653440737299188,Houston,Female,Married,Software Engineer,-1.8113424276186758,Excel,Satisfied,Hybrid
Associate Degree,-0.21338258914312921,0.3584584033938645,Chicago,Female,Single,HR Manager,-0.5560902236802493,Marketing,Very Satisfied,Hybrid
High School,0.15248357586997974,-1.2682377017832034,Chicago,Other,Single,Software Engineer,-1.8113424276186758,SQL,Very Satisfied,Hybrid
Master's Degree,-0.5792487541562381,0.24293603058497173,Chicago,Other,Divorced,Graphic Designer,1.0129750312427839,Excel,Very Dissatisfied,Remote
PhD,-1.0914613851745907,-0.5309051342032691,Phoenix,Other,Single,Project Manager,0.3853489292735706,Python,Satisfied,Remote
Bachelor's Degree,1.0305623719014412,-0.559124339774907,Los Angeles,Male,Divorced,Researcher,-0.24227717269564264,Java,Neutral,In-office
Master's Degree,0.7378694398909541,0.7475307002128223,New York,Female,Divorced,Data Scientist,1.3267880822273905,Java,Neutral,In-office
Master's Degree,-0.06703612313788564,0.397153989033973,Houston,Male,Single,Software Engineer,1.3267880822273905,Excel,Dissatisfied,Hybrid
Bachelor's Degree,1.7622947019276591,-0.5076242896066678,Chicago,Female,Divorced,Data Scientist,-0.24227717269564264,Data Analysis,Satisfied,Remote
Associate Degree,-1.310981084182456,1.6519562387838176,New York,Female,Married,Software Engineer,-0.5560902236802493,Python,Very Satisfied,Remote
PhD,1.1769088379066848,-1.3332124226118998,New York,Female,Divorced,Project Manager,1.6406011332119972,SQL,Very Satisfied,Remote
Bachelor's Degree,-0.3597290551483728,0.5334527519449841,Los Angeles,Female,Married,HR Manager,0.3853489292735706,Communication,Dissatisfied,In-office
Bachelor's Degree,1.103735604904063,-1.675017550098364,Houston,Female,Married,Sales Executive,-0.5560902236802493,Java,Dissatisfied,Remote
High School,1.0305623719014412,0.52403459208545,Chicago,Male,Single,Researcher,-1.8113424276186758,Python,Very Satisfied,In-office
High School,0.5183497408830887,0.0030022352121203233,Houston,Female,Divorced,Project Manager,-1.8113424276186758,SQL,Very Satisfied,Remote
Master's Degree,0.5915229738857105,-1.0623433231311403,Los Angeles,Other,Married,Data Scientist,1.0129750312427839,Communication,Satisfied,Remote
Bachelor's Degree,-0.9451149191693471,-0.07435366206113213,Phoenix,Other,Married,Software Engineer,-0.24227717269564264,Java,Dissatisfied,Hybrid
Associate Degree,-0.5792487541562381,0.0050481276160640725,New York,Female,Divorced,Data Scientist,-0.5560902236802493,Python,Satisfied,Remote
High School,1.3964285369145502,0.707106688231451,Chicago,Other,Married,Sales Executive,-1.1837163256494625,Communication,Very Satisfied,Hybrid
Bachelor's Degree,1.5427750029197937,-1.1997003062510878,Phoenix,Male,Divorced,Graphic Designer,0.6991619802581772,Excel,Very Dissatisfied,Hybrid
Bachelor's Degree,-0.3597290551483728,0.26205454235975645,Los Angeles,Male,Single,Researcher,-0.24227717269564264,Data Analysis,Very Dissatisfied,In-office
Associate Degree,0.0061371098647361585,0.9991401918909388,Houston,Female,Married,Project Manager,-0.5560902236802493,Marketing,Very Satisfied,Remote
Master's Degree,0.7378694398909541,1.2402380294936204,New York,Female,Married,Data Scientist,1.3267880822273905,Marketing,Dissatisfied,Remote
High School,-0.5060755211536164,-0.7819855157769174,Chicago,Female,Divorced,Data Scientist,-0.5560902236802493,Java,Very Dissatisfied,Remote
Bachelor's Degree,0.8842159058961977,0.4248088104941781,Phoenix,Other,Divorced,Graphic Designer,0.6991619802581772,Communication,Very Dissatisfied,Remote
Associate Degree,0.8110426728935759,0.6187100267782951,New York,Male,Divorced,Software Engineer,-0.8699032746648558,Python,Dissatisfied,In-office
Master's Degree,0.3720032748778451,-1.608772965018944,Houston,Other,Married,Graphic Designer,0.3853489292735706,Marketing,Very Dissatisfied,In-office
Master's Degree,-1.5305007831903215,-0.25915418454839595,Los Angeles,Male,Single,Data Scientist,0.6991619802581772,Java,Dissatisfied,Remote
High School,-0.7255952201614817,-0.7539426802401024,Houston,Male,Single,Software Engineer,-1.8113424276186758,Java,Dissatisfied,In-office
Associate Degree,-0.5060755211536164,1.0600936759256767,New York,Other,Divorced,Researcher,0.07153587828896397,Project Management,Satisfied,Hybrid
Bachelor's Degree,-1.310981084182456,1.16933727549488,New York,Male,Married,Graphic Designer,0.07153587828896397,Data Analysis,Very Satisfied,In-office
Master's Degree,0.3720032748778451,1.188208869220913,Los Angeles,Other,Married,Researcher,1.3267880822273905,Marketing,Satisfied,Hybrid
Master's Degree,1.6159482359224155,1.1716300859475757,New York,Male,Divorced,HR Manager,0.3853489292735706,Python,Satisfied,Hybrid
PhD,-0.21338258914312921,-0.668544309378933,Los Angeles,Other,Married,Software Engineer,0.6991619802581772,SQL,Dissatisfied,In-office
Master's Degree,0.07931034286735796,0.10773076188986155,Los Angeles,Other,Divorced,Graphic Designer,0.3853489292735706,Project Management,Satisfied,Remote
Associate Degree,0.29883004187522333,0.9096500362218821,Houston,Female,Married,HR Manager,-0.24227717269564264,Project Management,Dissatisfied,In-office
Associate Degree,0.5183497408830887,1.6738966711157661,Chicago,Female,Single,Project Manager,-0.5560902236802493,Java,Dissatisfied,In-office
Bachelor's Degree,-1.1646346181772125,1.3714573354017368,New York,Female,Single,Software Engineer,-0.24227717269564264,Data Analysis,Very Dissatisfied,Remote
Master's Degree,1.3964285369145502,0.744038573523332,Phoenix,Female,Single,Researcher,-0.24227717269564264,SQL,Very Dissatisfied,Hybrid
High School,1.7622947019276591,-1.078498818320903,Los Angeles,Male,Divorced,HR Manager,-1.8113424276186758,Marketing,Very Satisfied,Hybrid
Master's Degree,-1.310981084182456,0.11291604091365001,Los Angeles,Other,Married,Project Manager,0.07153587828896397,Marketing,Neutral,In-office
Bachelor's Degree,0.0061371098647361585,-0.10772287264959396,Houston,Male,Single,Researcher,-0.24227717269564264,Data Analysis,Very Dissatisfied,In-office
High School,0.3720032748778451,0.6723970653783363,Chicago,Male,Married,Marketing Specialist,-1.1837163256494625,Data Analysis,Satisfied,Hybrid
Master's Degree,-0.5792487541562381,-1.229224650080414,New York,Female,Single,Researcher,0.6991619802581772,Java,Neutral,In-office
Master's Degree,0.6646962068883323,0.5151808163373486,Houston,Male,Married,Marketing Specialist,0.6991619802581772,Java,Satisfied,Hybrid
Master's Degree,0.22565680887260153,-0.4300920222985926,Phoenix,Male,Divorced,Software Engineer,1.6406011332119972,Data Analysis,Satisfied,In-office
Bachelor's Degree,0.5915229738857105,-1.6132527639034415,Houston,Other,Married,Sales Executive,-0.24227717269564264,Marketing,Dissatisfied,Hybrid
High School,-0.286555822145751,-1.2108821664588494,Chicago,Male,Single,Researcher,-1.4975293766340692,Data Analysis,Dissatisfied,Hybrid
Master's Degree,0.4451765078804669,1.3662367823709836,Phoenix,Other,Divorced,Software Engineer,0.3853489292735706,Python,Very Dissatisfied,Remote
High School,1.1769088379066848,1.4194652588804857,New York,Male,Married,Sales Executive,-0.8699032746648558,Marketing,Satisfied,Hybrid
Associate Degree,-1.3841543171850779,-1.4976245690736552,Los Angeles,Female,Married,Researcher,-0.5560902236802493,Project Management,Satisfied,Hybrid
Bachelor's Degree,-1.4573275501876997,0.4638218621969675,Chicago,Female,Divorced,Researcher,0.07153587828896397,Communication,Very Dissatisfied,Remote
High School,0.4451765078804669,-1.0152172498265049,Phoenix,Other,Married,Sales Executive,-1.1837163256494625,Marketing,Very Dissatisfied,In-office
Associate Degree,-0.8719416861667253,-1.0002610708735369,Chicago,Male,Single,Marketing Specialist,0.07153587828896397,Marketing,Satisfied,In-office
Bachelor's Degree,0.7378694398909541,-0.44035675832527593,Houston,Female,Married,Software Engineer,0.07153587828896397,Java,Neutral,In-office
