Education,Age,Income,City,Gender,Marital Status,Job Role,Experience,Skills,Job Satisfaction,Workplace Type
Bachelor's Degree,39,0.0,Houston,Female,Single,Software Engineer,6.0,Project Management,Very Satisfied,Remote
Master's Degree,48,62841.0,Houston,Other,Married,Researcher,11.0,Data Analysis,Very Satisfied,In-office
PhD,40,98548.0,New York,Male,Married,Marketing Specialist,7.0,SQL,Very Satisfied,Hybrid
Master's Degree,37,108565.0,Chicago,Female,Divorced,Researcher,9.0,Marketing,Very Satisfied,In-office
Bachelor's Degree,55,71660.0,Chicago,Male,Married,Sales Executive,6.0,Communication,Dissatisfied,Remote
Bachelor's Degree,21,75281.0,Los Angeles,Male,Divorced,Sales Executive,9.0,Communication,Very Dissatisfied,Hybrid
Master's Degree,32,25767.0,Houston,Male,Married,Graphic Designer,11.0,Python,Satisfied,Remote
0,41,28895.0,Chicago,Male,Married,Researcher,0.0,Marketing,Very Dissatisfied,Remote
Bachelor's Degree,42,83026.0,Chicago,Female,Married,Graphic Designer,5.0,Communication,Very Satisfied,Hybrid
Master's Degree,18,67968.0,Houston,Male,Married,Data Scientist,5.0,Excel,Dissatisfied,Hybrid
Bachelor's Degree,24,65097.0,Phoenix,Other,Divorced,Graphic Designer,5.0,Data Analysis,Dissatisfied,Hybrid
Bachelor's Degree,48,40332.0,Chicago,Female,Divorced,Data Scientist,8.0,Project Management,Very Satisfied,In-office
0,29,39621.0,New York,Male,Married,HR Manager,0.0,Data Analysis,Dissatisfied,In-office
0,59,101870.0,Los Angeles,Female,Married,Graphic Designer,0.0,Excel,Very Satisfied,Remote
Bachelor's Degree,22,43174.0,Chicago,Other,Divorced,Marketing Specialist,6.0,Communication,Very Dissatisfied,Hybrid
Master's Degree,61,65502.0,Chicago,Male,Single,Data Scientist,7.0,Excel,Neutral,Remote
Associate Degree,59,61674.0,Phoenix,Other,Single,no details,4.0,Data Analysis,Dissatisfied,Remote
High School,55,0.0,New York,Male,Single,Software Engineer,3.0,Communication,Very Satisfied,Remote
PhD,29,67498.0,Los Angeles,Other,Divorced,Data Scientist,7.0,Project Management,Very Satisfied,Remote
Associate Degree,56,92609.0,Chicago,Male,Divorced,Software Engineer,6.0,Project Management,Dissatisfied,Remote
Associate Degree,35,74464.0,Los Angeles,Female,Single,Project Manager,2.0,Marketing,Satisfied,Hybrid
PhD,19,0.0,Houston,Male,Single,Marketing Specialist,12.0,Excel,Very Satisfied,In-office
Master's Degree,27,89919.0,Chicago,Female,Married,Project Manager,9.0,SQL,Dissatisfied,Hybrid
Bachelor's Degree,32,79469.0,Chicago,Male,Divorced,Data Scientist,3.0,Marketing,Very Satisfied,Hybrid
Master's Degree,47,42194.0,Houston,Male,Divorced,Software Engineer,10.0,Project Management,Satisfied,Hybrid
0,61,51811.0,Phoenix,Other,Single,Data Scientist,0.0,Python,Neutral,In-office
Master's Degree,34,97377.0,Chicago,Other,Single,Project Manager,9.0,Communication,Satisfied,In-office
Bachelor's Degree,21,68723.0,Los Angeles,Other,Divorced,Researcher,5.0,Marketing,Very Dissatisfied,In-office
Master's Degree,24,100235.0,New York,Male,Married,Researcher,6.0,Java,Dissatisfied,Hybrid
Bachelor's Degree,58,101298.0,Los Angeles,Male,Single,Data Scientist,5.0,SQL,Satisfied,In-office
Bachelor's Degree,48,84238.0,Phoenix,Male,Divorced,HR Manager,4.0,Communication,Neutral,Remote
Bachelor's Degree,56,27147.0,New York,Female,Divorced,Sales Executive,9.0,Marketing,Very Satisfied,In-office
Bachelor's Degree,51,63445.0,Los Angeles,Female,Married,Project Manager,6.0,Project Management,Dissatisfied,Hybrid
Master's Degree,23,78803.0,Los Angeles,Male,Married,Data Scientist,5.0,Data Analysis,Satisfied,Hybrid
Bachelor's Degree,55,0.0,Houston,Other,Single,Software Engineer,3.0,Project Management,Neutral,Remote
Bachelor's Degree,62,27013.0,Phoenix,Other,Single,Data Scientist,6.0,SQL,Satisfied,In-office
0,51,110617.0,Houston,Other,Single,Researcher,0.0,Java,Very Dissatisfied,In-office
Bachelor's Degree,61,107410.0,New York,Male,Divorced,Software Engineer,7.0,Marketing,Dissatisfied,Remote
Master's Degree,32,78502.0,Houston,Other,Single,Sales Executive,8.0,Data Analysis,Very Satisfied,Hybrid
Master's Degree,31,62755.0,Phoenix,Male,Divorced,Data Scientist,11.0,Marketing,Neutral,Hybrid
Bachelor's Degree,23,33733.0,Chicago,Female,Single,Graphic Designer,8.0,Excel,Satisfied,In-office
PhD,54,34479.0,Chicago,Other,Married,Researcher,9.0,Python,Dissatisfied,In-office
Master's Degree,49,100361.0,New York,Female,Married,Graphic Designer,6.0,Project Management,Satisfied,In-office
Bachelor's Degree,20,46304.0,Chicago,Other,Divorced,Sales Executive,8.0,Marketing,Dissatisfied,In-office
Bachelor's Degree,20,60694.0,Houston,Male,Married,Project Manager,6.0,Marketing,Very Dissatisfied,In-office
PhD,39,0.0,New York,Male,Divorced,Software Engineer,6.0,Communication,Satisfied,Hybrid
Bachelor's Degree,39,111296.0,Phoenix,Male,Divorced,Graphic Designer,5.0,Communication,Very Dissatisfied,Hybrid
Master's Degree,27,34490.0,New York,Male,Married,HR Manager,6.0,Marketing,Neutral,Hybrid
Bachelor's Degree,20,46252.0,New York,Other,Divorced,Project Manager,9.0,Java,Very Dissatisfied,Hybrid
Bachelor's Degree,29,31862.0,Los Angeles,Female,Married,Software Engineer,4.0,Python,Dissatisfied,Remote
Associate Degree,46,94959.0,Los Angeles,Male,Single,Researcher,6.0,Marketing,Neutral,Hybrid
Bachelor's Degree,34,35450.0,New York,Other,Single,Researcher,5.0,SQL,Satisfied,Remote
PhD,24,81022.0,Chicago,Female,Married,Researcher,7.0,Project Management,Satisfied,Hybrid
Bachelor's Degree,30,86991.0,Los Angeles,Male,Married,Sales Executive,6.0,Excel,Dissatisfied,In-office
Bachelor's Degree,19,0.0,Phoenix,Female,Married,Graphic Designer,4.0,Communication,Very Satisfied,In-office
PhD,21,113090.0,Houston,Male,Married,Researcher,10.0,SQL,Very Satisfied,In-office
Bachelor's Degree,27,74853.0,Los Angeles,Female,Single,Marketing Specialist,4.0,Project Management,Satisfied,Remote
Bachelor's Degree,56,56826.0,New York,Female,Divorced,Researcher,4.0,Data Analysis,Dissatisfied,Hybrid
Master's Degree,41,0.0,Chicago,Male,Divorced,Data Scientist,9.0,Communication,Very Satisfied,Hybrid
Master's Degree,34,82265.0,Houston,Other,Single,Sales Executive,10.0,Java,Very Dissatisfied,Remote
High School,23,97361.0,Los Angeles,Female,Divorced,Software Engineer,2.0,Communication,Satisfied,Remote
Bachelor's Degree,36,102990.0,Chicago,Male,Single,Software Engineer,9.0,Python,Very Dissatisfied,Remote
Bachelor's Degree,22,114787.0,Chicago,Female,Divorced,Software Engineer,8.0,Python,Dissatisfied,Remote
Associate Degree,49,111184.0,Chicago,Female,Married,Software Engineer,2.0,Project Management,Very Dissatisfied,Remote
Bachelor's Degree,27,65736.0,New York,Other,Married,Data Scientist,7.0,SQL,Very Satisfied,In-office
Bachelor's Degree,26,49530.0,Phoenix,Female,Married,Project Manager,7.0,Excel,Very Satisfied,Hybrid
High School,44,103052.0,Chicago,Female,Single,HR Manager,1.0,Java,Neutral,Remote
Bachelor's Degree,30,72058.0,Houston,Male,Single,Marketing Specialist,4.0,Project Management,Satisfied,In-office
High School,36,0.0,Los Angeles,Male,Divorced,Data Scientist,0.0,Data Analysis,Dissatisfied,Remote
0,38,99255.0,Houston,Other,Divorced,Software Engineer,0.0,Java,Satisfied,In-office
0,41,0.0,New York,Female,Divorced,Data Scientist,0.0,Python,Very Dissatisfied,Remote
Master's Degree,55,0.0,New York,Female,Single,Sales Executive,6.0,Marketing,Dissatisfied,Hybrid
Associate Degree,21,62387.0,Houston,Female,Divorced,HR Manager,5.0,Marketing,Dissatisfied,Remote
High School,41,0.0,Phoenix,Other,Married,Software Engineer,1.0,Excel,Very Satisfied,Remote
Associate Degree,52,64643.0,New York,Female,Divorced,Marketing Specialist,3.0,Java,Very Dissatisfied,Hybrid
0,20,35100.0,New York,Male,Married,Software Engineer,0.0,Project Management,Very Satisfied,Hybrid
Associate Degree,21,0.0,Houston,Other,Single,HR Manager,5.0,Excel,Very Satisfied,Remote
Bachelor's Degree,54,0.0,New York,Male,Married,Marketing Specialist,3.0,Communication,Neutral,Hybrid
Associate Degree,57,63169.0,Phoenix,Male,Married,HR Manager,5.0,Communication,Very Satisfied,Hybrid
Master's Degree,52,53804.0,Phoenix,Other,Married,Marketing Specialist,9.0,Data Analysis,Satisfied,In-office
Associate Degree,48,0.0,Phoenix,Male,Single,Project Manager,5.0,SQL,Dissatisfied,Hybrid
Associate Degree,61,0.0,Los Angeles,Female,Single,Graphic Designer,4.0,Marketing,Very Satisfied,Hybrid
Master's Degree,42,101448.0,Phoenix,Other,Single,Project Manager,9.0,Project Management,Satisfied,Remote
Associate Degree,57,63506.0,Phoenix,Male,Single,Data Scientist,3.0,Java,Very Dissatisfied,Remote
High School,30,112904.0,Los Angeles,Female,Divorced,Data Scientist,4.0,Excel,Dissatisfied,In-office
0,21,0.0,Chicago,Female,Single,Researcher,0.0,Project Management,Very Dissatisfied,Remote
Bachelor's Degree,63,37305.0,New York,Male,Married,Marketing Specialist,3.0,Excel,Satisfied,Hybrid
0,31,34969.0,Phoenix,Female,Single,Researcher,0.0,Excel,Very Dissatisfied,Hybrid
Associate Degree,30,37404.0,New York,Other,Divorced,Researcher,2.0,Excel,Very Dissatisfied,Hybrid
Bachelor's Degree,44,33989.0,Houston,Male,Divorced,no details,6.0,Java,Very Dissatisfied,Remote
Associate Degree,23,90305.0,New York,Female,Divorced,Graphic Designer,6.0,Project Management,Very Satisfied,Hybrid
High School,34,0.0,Los Angeles,Female,Married,Sales Executive,1.0,Python,Very Satisfied,Hybrid
Master's Degree,53,64462.0,New York,Male,Single,Sales Executive,5.0,Python,Very Satisfied,In-office
Master's Degree,57,44360.0,New York,Male,Single,Software Engineer,10.0,Java,Dissatisfied,In-office
Associate Degree,52,0.0,New York,Male,Single,Software Engineer,3.0,Communication,Satisfied,In-office
Bachelor's Degree,34,51287.0,Chicago,Male,Married,Project Manager,8.0,Java,Very Satisfied,Remote
Associate Degree,58,0.0,Chicago,Other,Married,Sales Executive,4.0,Marketing,Very Dissatisfied,Hybrid
Master's Degree,19,0.0,Houston,Male,Divorced,Marketing Specialist,10.0,Excel,Very Dissatisfied,Hybrid
High School,30,59160.0,Los Angeles,Other,Divorced,HR Manager,0.0,Project Management,Very Dissatisfied,Hybrid
0,19,31789.0,New York,Other,Single,Researcher,0.0,Project Management,Very Dissatisfied,In-office
Bachelor's Degree,45,52181.0,New York,Male,Married,Data Scientist,6.0,SQL,Neutral,Hybrid
Bachelor's Degree,60,39385.0,New York,Other,Married,Researcher,5.0,SQL,Dissatisfied,Hybrid
Bachelor's Degree,43,107597.0,New York,Male,Single,Researcher,7.0,Data Analysis,Satisfied,Hybrid
High School,39,90641.0,Chicago,Male,Single,HR Manager,1.0,Python,Satisfied,Hybrid
Associate Degree,64,69247.0,Houston,Female,Divorced,Project Manager,2.0,SQL,Very Satisfied,Hybrid
Bachelor's Degree,60,111673.0,Phoenix,Male,Divorced,Sales Executive,5.0,SQL,Neutral,Remote
Associate Degree,20,30544.0,Los Angeles,Female,Divorced,no details,4.0,Python,Satisfied,Hybrid
Master's Degree,52,38275.0,New York,Other,Single,Graphic Designer,5.0,Marketing,Dissatisfied,Remote
High School,29,88248.0,Houston,Female,Single,Software Engineer,4.0,Communication,Very Dissatisfied,Hybrid
Bachelor's Degree,41,59550.0,Phoenix,Other,Divorced,Graphic Designer,7.0,Python,Very Satisfied,Remote
0,22,78693.0,Houston,Male,Divorced,Graphic Designer,0.0,Communication,Dissatisfied,Hybrid
Associate Degree,37,44641.0,Chicago,Other,Married,Sales Executive,5.0,Data Analysis,Satisfied,Hybrid
Bachelor's Degree,56,96749.0,Phoenix,Other,Married,Marketing Specialist,9.0,SQL,Neutral,Hybrid
Master's Degree,56,105021.0,Houston,Male,Divorced,no details,10.0,Project Management,Very Satisfied,Hybrid
High School,30,40605.0,Chicago,Other,Divorced,Researcher,4.0,SQL,Satisfied,In-office
PhD,58,75713.0,Houston,Male,Married,Researcher,13.0,Excel,Very Satisfied,Hybrid
Bachelor's Degree,62,45390.0,Houston,Female,Divorced,Researcher,6.0,Data Analysis,Satisfied,Remote
Associate Degree,29,100403.0,Phoenix,Male,Married,Software Engineer,4.0,Communication,Very Dissatisfied,In-office
Bachelor's Degree,30,83466.0,Chicago,Male,Married,no details,3.0,Communication,Neutral,In-office
Associate Degree,27,28981.0,New York,Other,Married,Marketing Specialist,6.0,Excel,Very Dissatisfied,Hybrid
Master's Degree,50,34493.0,Los Angeles,Female,Single,HR Manager,8.0,Excel,Satisfied,Remote
Master's Degree,57,96218.0,Phoenix,Male,Single,Data Scientist,7.0,Marketing,Dissatisfied,Remote
Master's Degree,33,96318.0,Chicago,Female,Divorced,Project Manager,9.0,Java,Very Dissatisfied,In-office
PhD,62,41984.0,Houston,Female,Married,Marketing Specialist,8.0,Excel,Dissatisfied,Remote
Master's Degree,52,47760.0,Chicago,Other,Single,Marketing Specialist,9.0,Communication,Satisfied,Hybrid
Bachelor's Degree,20,116529.0,Los Angeles,Male,Divorced,Researcher,5.0,Project Management,Neutral,Hybrid
Associate Degree,22,26524.0,Los Angeles,Other,Divorced,HR Manager,2.0,Communication,Dissatisfied,Hybrid
Bachelor's Degree,43,74402.0,New York,Male,Divorced,Software Engineer,3.0,Communication,Satisfied,Hybrid
High School,28,116656.0,New York,Female,Divorced,Data Scientist,0.0,Marketing,Dissatisfied,Hybrid
Master's Degree,24,90614.0,Los Angeles,Male,Divorced,Researcher,10.0,Java,Very Dissatisfied,In-office
Bachelor's Degree,27,60891.0,Phoenix,Male,Married,no details,4.0,Java,Satisfied,Hybrid
High School,59,116009.0,Phoenix,Female,Divorced,Researcher,0.0,Excel,Very Dissatisfied,Hybrid
High School,51,64832.0,Houston,Female,Married,HR Manager,1.0,Data Analysis,Very Satisfied,In-office
Associate Degree,20,70836.0,New York,Male,Single,Marketing Specialist,2.0,SQL,Satisfied,In-office
Bachelor's Degree,25,98953.0,Houston,Other,Divorced,Project Manager,8.0,Communication,Dissatisfied,In-office
Bachelor's Degree,48,38362.0,New York,Male,Single,no details,5.0,Python,Very Satisfied,Remote
Bachelor's Degree,28,91745.0,Los Angeles,Female,Married,Sales Executive,7.0,SQL,Very Dissatisfied,Remote
Bachelor's Degree,62,62921.0,Phoenix,Other,Married,Project Manager,7.0,SQL,Very Dissatisfied,Hybrid
Bachelor's Degree,24,95434.0,Phoenix,Female,Single,Researcher,3.0,Java,Dissatisfied,Hybrid
Associate Degree,62,43562.0,Los Angeles,Female,Divorced,Project Manager,6.0,Java,Very Satisfied,Hybrid
High School,19,89510.0,Houston,Other,Divorced,Marketing Specialist,0.0,Marketing,Neutral,Remote
0,23,101407.0,Houston,Female,Single,Software Engineer,0.0,Marketing,Dissatisfied,Hybrid
Bachelor's Degree,58,32610.0,Chicago,Female,Single,Researcher,3.0,Java,Very Dissatisfied,Hybrid
0,49,117918.0,New York,Female,Single,Project Manager,0.0,Project Management,Satisfied,Remote
Associate Degree,37,40791.0,Houston,Female,Divorced,Sales Executive,5.0,Project Management,Very Satisfied,In-office
High School,51,83047.0,Los Angeles,Female,Divorced,HR Manager,3.0,Python,Neutral,Remote
Bachelor's Degree,33,92906.0,Houston,Female,Divorced,Software Engineer,9.0,Java,Satisfied,Hybrid
Associate Degree,42,44665.0,Phoenix,Female,Single,Software Engineer,5.0,Excel,Very Satisfied,Remote
0,29,95246.0,New York,Female,Divorced,Software Engineer,0.0,Marketing,Dissatisfied,In-office
Master's Degree,24,90864.0,Chicago,Female,Married,Project Manager,6.0,Java,Dissatisfied,In-office
0,56,0.0,New York,Male,Single,Software Engineer,0.0,Project Management,Very Satisfied,In-office
PhD,34,111148.0,Phoenix,Male,Divorced,Marketing Specialist,14.0,Java,Neutral,In-office
Bachelor's Degree,62,70890.0,Phoenix,Female,Single,no details,8.0,Project Management,Very Satisfied,In-office
Bachelor's Degree,28,31794.0,Phoenix,Male,Married,Sales Executive,8.0,Java,Satisfied,In-office
Bachelor's Degree,23,57888.0,Phoenix,Other,Married,Researcher,5.0,Communication,Satisfied,Hybrid
Bachelor's Degree,40,31749.0,Los Angeles,Male,Single,Researcher,6.0,Excel,Dissatisfied,Hybrid
Bachelor's Degree,44,71531.0,Chicago,Female,Single,Data Scientist,8.0,Data Analysis,Very Satisfied,Remote
Bachelor's Degree,63,45608.0,Phoenix,Female,Married,Sales Executive,6.0,Python,Dissatisfied,Hybrid
High School,23,105986.0,Phoenix,Male,Single,Project Manager,2.0,Communication,Neutral,In-office
High School,55,94211.0,Houston,Female,Married,Software Engineer,0.0,Excel,Satisfied,Hybrid
Associate Degree,19,108996.0,Chicago,Other,Married,no details,3.0,Project Management,Very Dissatisfied,Remote
Associate Degree,39,0.0,New York,Other,Divorced,Marketing Specialist,5.0,Marketing,Very Dissatisfied,In-office
Associate Degree,37,82676.0,Chicago,Female,Single,HR Manager,4.0,Marketing,Very Satisfied,Hybrid
High School,42,36560.0,Chicago,Other,Single,Software Engineer,0.0,SQL,Very Satisfied,Hybrid
Master's Degree,32,79401.0,Chicago,Other,Divorced,Graphic Designer,9.0,Excel,Very Dissatisfied,Remote
Master's Degree,46,0.0,Phoenix,Male,Married,Sales Executive,10.0,Java,Very Satisfied,In-office
PhD,25,57463.0,Phoenix,Other,Single,Project Manager,7.0,Python,Satisfied,Remote
Bachelor's Degree,54,56663.0,Los Angeles,Male,Divorced,Researcher,5.0,Java,Neutral,In-office
Master's Degree,50,93706.0,New York,Female,Divorced,Data Scientist,10.0,Java,Neutral,In-office
Master's Degree,39,83773.0,Houston,Male,Single,Software Engineer,10.0,Excel,Dissatisfied,Hybrid
Bachelor's Degree,64,58123.0,Chicago,Female,Divorced,Data Scientist,5.0,Data Analysis,Satisfied,Remote
Associate Degree,22,119346.0,New York,Female,Married,Software Engineer,4.0,Python,Very Satisfied,Remote
PhD,56,34718.0,New York,Female,Divorced,Project Manager,11.0,SQL,Very Satisfied,Remote
Bachelor's Degree,35,87637.0,Los Angeles,Female,Married,HR Manager,7.0,Communication,Dissatisfied,In-office
Bachelor's Degree,55,25028.0,Houston,Female,Married,Sales Executive,4.0,Java,Dissatisfied,Remote
High School,54,87370.0,Chicago,Male,Single,Researcher,0.0,Python,Very Satisfied,In-office
High School,47,72599.0,Houston,Female,Divorced,Project Manager,0.0,SQL,Very Satisfied,Remote
Master's Degree,48,42397.0,Los Angeles,Other,Married,Data Scientist,9.0,Communication,Satisfied,Remote
Bachelor's Degree,27,70406.0,Phoenix,Other,Married,Software Engineer,5.0,Java,Dissatisfied,Hybrid
Associate Degree,32,72657.0,New York,Female,Divorced,Data Scientist,4.0,Python,Satisfied,Remote
High School,59,92560.0,Chicago,Other,Married,Sales Executive,2.0,Communication,Very Satisfied,Hybrid
Bachelor's Degree,61,38503.0,Phoenix,Male,Divorced,Graphic Designer,8.0,Excel,Very Dissatisfied,Hybrid
Bachelor's Degree,35,79943.0,Los Angeles,Male,Single,Researcher,5.0,Data Analysis,Very Dissatisfied,In-office
Associate Degree,40,100839.0,Houston,Female,Married,Project Manager,4.0,Marketing,Very Satisfied,Remote
Master's Degree,50,107674.0,New York,Female,Married,Data Scientist,10.0,Marketing,Dissatisfied,Remote
High School,33,50345.0,Chicago,Female,Divorced,Data Scientist,4.0,Java,Very Dissatisfied,Remote
Associate Degree,55,75390.0,Phoenix,Other,Divorced,no details,5.0,Java,Dissatisfied,Hybrid
Bachelor's Degree,52,84557.0,Phoenix,Other,Divorced,Graphic Designer,8.0,Communication,Very Dissatisfied,Remote
Associate Degree,51,90054.0,New York,Male,Divorced,Software Engineer,3.0,Python,Dissatisfied,In-office
Master's Degree,45,26906.0,Houston,Other,Married,Graphic Designer,7.0,Marketing,Very Dissatisfied,In-office
Master's Degree,19,65167.0,Los Angeles,Male,Single,Data Scientist,8.0,Java,Dissatisfied,Remote
0,47,32961.0,Houston,Other,Single,Sales Executive,0.0,SQL,Satisfied,Hybrid
High School,30,51140.0,Houston,Male,Single,Software Engineer,0.0,Java,Dissatisfied,In-office
0,58,83701.0,Houston,Female,Single,Graphic Designer,0.0,Marketing,Satisfied,In-office
Associate Degree,33,102567.0,New York,Other,Divorced,Researcher,6.0,Project Management,Satisfied,Hybrid
Bachelor's Degree,22,105664.0,New York,Male,Married,Graphic Designer,6.0,Data Analysis,Very Satisfied,In-office
Master's Degree,45,106199.0,Los Angeles,Other,Married,Researcher,10.0,Marketing,Satisfied,Hybrid
0,56,106218.0,Houston,Female,Married,Graphic Designer,0.0,SQL,Neutral,In-office
Master's Degree,62,105729.0,New York,Male,Divorced,HR Manager,7.0,Python,Satisfied,Hybrid
PhD,37,53561.0,Los Angeles,Other,Married,Software Engineer,8.0,SQL,Dissatisfied,In-office
Master's Degree,41,75568.0,Los Angeles,Other,Divorced,Graphic Designer,7.0,Project Management,Satisfied,Remote
Associate Degree,44,98302.0,Houston,Female,Married,HR Manager,5.0,Project Management,Dissatisfied,In-office
Associate Degree,47,119968.0,Chicago,Female,Single,Project Manager,4.0,Java,Dissatisfied,In-office
Bachelor's Degree,62,54504.0,Houston,Male,Divorced,no details,8.0,Java,Neutral,Remote
0,44,0.0,Chicago,Other,Married,Graphic Designer,0.0,Marketing,Satisfied,Remote
High School,43,65297.0,Los Angeles,Other,Single,no details,3.0,Excel,Satisfied,Remote
Bachelor's Degree,24,111394.0,New York,Female,Single,Software Engineer,5.0,Data Analysis,Very Dissatisfied,Remote
Master's Degree,59,93607.0,Phoenix,Female,Single,Researcher,5.0,SQL,Very Dissatisfied,Hybrid
High School,64,41939.0,Los Angeles,Male,Divorced,HR Manager,0.0,Marketing,Very Satisfied,Hybrid
0,55,115467.0,New York,Other,Divorced,HR Manager,0.0,Excel,Dissatisfied,In-office
Master's Degree,22,75715.0,Los Angeles,Other,Married,Project Manager,6.0,Marketing,Neutral,In-office
Bachelor's Degree,40,69460.0,Houston,Male,Single,Researcher,5.0,Data Analysis,Very Dissatisfied,In-office
High School,45,91576.0,Chicago,Male,Married,Marketing Specialist,2.0,Data Analysis,Satisfied,Hybrid
0,51,93222.0,Los Angeles,Female,Married,no details,0.0,Project Management,Very Satisfied,In-office
Master's Degree,32,37666.0,New York,Female,Single,Researcher,8.0,Java,Neutral,In-office
Master's Degree,49,87119.0,Houston,Male,Married,Marketing Specialist,8.0,Java,Satisfied,Hybrid
Master's Degree,43,60321.0,Phoenix,Male,Divorced,Software Engineer,11.0,Data Analysis,Satisfied,In-office
Bachelor's Degree,48,26779.0,Houston,Other,Married,Sales Executive,5.0,Marketing,Dissatisfied,Hybrid
High School,36,38186.0,Chicago,Male,Single,Researcher,1.0,Data Analysis,Dissatisfied,Hybrid
0,26,41459.0,Houston,Male,Divorced,Project Manager,0.0,Java,Very Dissatisfied,Remote
Master's Degree,46,111246.0,Phoenix,Other,Divorced,Software Engineer,7.0,Python,Very Dissatisfied,Remote
High School,56,112755.0,New York,Male,Married,Sales Executive,3.0,Marketing,Satisfied,Hybrid
Associate Degree,21,30057.0,Los Angeles,Female,Married,Researcher,4.0,Project Management,Satisfied,Hybrid
Bachelor's Degree,20,85663.0,Chicago,Female,Divorced,Researcher,6.0,Communication,Very Dissatisfied,Remote
High School,46,43733.0,Phoenix,Other,Married,Sales Executive,2.0,Marketing,Very Dissatisfied,In-office
Associate Degree,28,44157.0,Chicago,Male,Single,Marketing Specialist,6.0,Marketing,Satisfied,In-office
Bachelor's Degree,50,60030.0,Houston,Female,Married,Software Engineer,6.0,Java,Neutral,In-office
Associate Degree,55,44613.0,Chicago,Female,Married,Project Manager,3.0,Project Management,Satisfied,Hybrid
High School,28,108028.0,Phoenix,Female,Divorced,Project Manager,4.0,Marketing,Neutral,Remote
Master's Degree,44,111282.0,Los Angeles,Female,Married,Software Engineer,10.0,Java,Neutral,In-office
Master's Degree,50,30188.0,Los Angeles,Male,Married,Software Engineer,7.0,Data Analysis,Satisfied,Remote
Associate Degree,38,54680.0,Chicago,Male,Married,HR Manager,5.0,SQL,Very Satisfied,Remote
Master's Degree,56,85119.0,New York,Male,Single,Data Scientist,9.0,Project Management,Very Dissatisfied,Hybrid
